Date,Open,High,Low,Close,Adj Close,Volume
2019-05-21,3371.260010,3395.909912,3370.379883,3386.510010,3386.510010,37551500
2019-05-22,3384.919922,3396.870117,3359.600098,3386.719971,3386.719971,36107300
2019-05-23,3378.479980,3378.479980,3323.699951,3327.199951,3327.199951,45389300
2019-05-24,3330.989990,3365.580078,3330.989990,3350.699951,3350.699951,35226300
2019-05-27,3350.600098,3380.850098,3350.600098,3364.040039,3364.040039,19580400
2019-05-28,3364.229980,3369.909912,3337.770020,3348.860107,3348.860107,52627100
2019-05-29,3337.379883,3337.379883,3288.520020,3297.810059,3297.810059,38520100
2019-05-31,3312.409912,3312.409912,3258.040039,3280.429932,3280.429932,49350100
2019-06-03,3274.969971,3300.219971,3248.540039,3300.219971,3300.219971,34972500
2019-06-04,3293.629883,3338.080078,3275.199951,3333.489990,3333.489990,42640200
2019-06-05,3334.399902,3355.689941,3326.929932,3339.949951,3339.949951,33457800
2019-06-06,3341.290039,3370.800049,3326.899902,3338.409912,3338.409912,41512600
2019-06-07,3341.330078,3391.050049,3341.330078,3378.379883,3378.379883,31980300
2019-06-11,3386.729980,3418.179932,3386.729980,3401.100098,3401.100098,31645900
2019-06-12,3398.580078,3398.580078,3376.449951,3386.629883,3386.629883,30134000
2019-06-13,3384.320068,3401.719971,3373.679932,3390.500000,3390.500000,28235500
2019-06-14,3388.780029,3388.780029,3363.070068,3379.189941,3379.189941,26397100
2019-06-17,3382.449951,3393.889893,3375.800049,3383.209961,3383.209961,24211200
2019-06-18,3381.500000,3458.909912,3366.870117,3452.889893,3452.889893,49958000
2019-06-19,3454.520020,3457.370117,3444.120117,3454.699951,3454.699951,37824200
2019-06-20,3460.100098,3487.000000,3460.100098,3468.080078,3468.080078,49469100
2019-06-21,3468.729980,3496.790039,3459.040039,3466.919922,3466.919922,79595100
2019-06-24,3466.379883,3473.750000,3449.189941,3455.570068,3455.570068,27884900
2019-06-25,3454.310059,3454.310059,3440.060059,3444.360107,3444.360107,27329900
2019-06-26,3444.280029,3460.159912,3434.330078,3442.949951,3442.949951,31753900
2019-06-27,3444.360107,3454.209961,3424.679932,3442.379883,3442.379883,31948700
